url,title,type,current_cluster,target_cluster,current_status,recommended_action,priority,target_keyword,secondary_keywords,service_page_to_link,problems,opportunities,notes
https://sever.studio/,Homepage,local_page,Homepage,Локальное SEO,indexed_unknown,update,critical,создание сайта Красногорск,разработка сайта Москва;SEO продвижение Красногорск;Яндекс Директ Москва,/razrabotka-landing-page/;/prodvizhenie-seo/;/yandeks-direkt/;/kontakty/,NAP conflict;needs service links;schema phone mismatch,Strengthen local positioning and link to core services,Source WordPress page plus website_analysis
https://sever.studio/o-nas/,О нас,other,About,Локальное SEO,indexed_unknown,update,medium,веб студия Красногорск,веб студия Москва;digital агентство Москва,/kontakty/;homepage,Needs confirmed proof points and team facts,Can support trust and local authority,Do not invent team data
https://sever.studio/razrabotka-korporativnogo-sajta/,Разработка корпоративного сайта под ключ,service_page,Корпоративный сайт,Корпоративные сайты,thin,update,critical,корпоративный сайт под ключ,разработка корпоративного сайта;корпоративный сайт Москва,/razrabotka-mnogostranichnogo-sajta/;/prodvizhenie-seo/;/podderzhka-sajta/,Needs FAQ;process;proof;schema,Core commercial page with confirmed price and timeline,Use source public site for price
https://sever.studio/razrabotka-mnogostranichnogo-sajta/,Многостраничный сайт,service_page,Многостраничный сайт,Многостраничные сайты,thin,update,high,многостраничный сайт под ключ,разработка многостраничного сайта;структура многостраничного сайта,/razrabotka-landing-page/;/razrabotka-korporativnogo-sajta/;/prodvizhenie-seo/,Needs comparison and FAQ,Can support site development pillar,Use confirmed price and timeline
https://sever.studio/razrabotka-internet-magazina/,Разработка интернет магазина,service_page,Интернет-магазин,Интернет-магазины,thin,update,critical,разработка интернет магазина,интернет магазин под ключ;интернет магазин Москва,/prodvizhenie-seo/;/podderzhka-sajta/;/yandeks-direkt/,Needs platform and integration TODO;FAQ,High value commercial service page,Confirm CMS and payment details
https://sever.studio/razrabotka-landing-page/,Разработка Landing Page,service_page,Landing Page,Landing Page,thin,update,critical,landing page под ключ,лендинг под ключ;лендинг для Яндекс Директ,/yandeks-direkt/;/razrabotka-kviz-sajta/;TODO URL аудит сайта,Needs process;FAQ;ad connection,Core conversion page with confirmed price and timeline,Use source public site for price
https://sever.studio/razrabotka-sajta-vizitki/,Разработка сайта визитки,service_page,Сайт-визитка,Сайты-визитки,thin,update,high,сайт визитка под ключ,сайт визитка цена;сайт визитка Красногорск,/razrabotka-landing-page/;/podderzhka-sajta/;/kontakty/,Needs FAQ and local angle,Good entry service for local SMB,Use confirmed price and timeline
https://sever.studio/razrabotka-kviz-sajta/,Разработка квиз сайта,service_page,Квиз-сайт,Квиз-сайты,thin,update,medium,квиз сайт под ключ,квиз для лидогенерации;квиз или лендинг,/razrabotka-landing-page/;/yandeks-direkt/;/targetirovannaya-reklama/,Needs examples and CRM TODO,Can support lead generation and ad clusters,Confirm integrations
https://sever.studio/podderzhka-sajta/,Поддержка сайта,service_page,Поддержка сайта,Поддержка и доработка сайтов,thin,update,critical,поддержка сайта,техническая поддержка сайта;поддержка сайта Москва,/homepage/dorabotka-sajta/;TODO URL перенос сайта;TODO URL аудит сайта,Price period unclear;needs SLA;needs FAQ,Recurring service and post-launch support page,Clarify monthly or one-time price
https://sever.studio/homepage/dorabotka-sajta/,Доработка сайта,service_page,Доработка сайта,Поддержка и доработка сайтов,thin,update,critical,доработка сайта,исправить сайт после подрядчика;доработка сайта Москва,/podderzhka-sajta/;TODO URL аудит сайта;TODO URL перенос сайта,URL structure odd;needs problem-aware copy,Strong intent for failed contractor scenarios,Check whether URL should change
https://sever.studio/zakazat-kopirajt-teksta/,Заказать копирайт текста,service_page,Копирайт,Копирайт и рерайт,thin,update,high,копирайт для сайта,SEO текст для сайта;заказать текст для сайта,/prodvizhenie-seo/;/zakazat-rerajt-teksta-2/;TODO URL аудит сайта,Price unit unclear;needs examples;needs FAQ,Supports SEO and service page refreshes,Confirm price per unit
https://sever.studio/prodvizhenie-seo/,Продвижение Seo,service_page,SEO,SEO-продвижение,thin,update,critical,SEO продвижение сайта,продвижение сайта в Яндексе;SEO продвижение Красногорск,TODO URL аудит сайта;/zakazat-kopirajt-teksta/;/podderzhka-sajta/,Typo in title;needs Yandex focus;needs reporting scope,Core SEO service page,Use no guarantee wording
https://sever.studio/zakazat-rerajt-teksta-2/,Заказать рерайт текста,service_page,Рерайт,Копирайт и рерайт,thin,update,medium,заказать рерайт текста,рерайт текста;обновление текстов сайта,/zakazat-kopirajt-teksta/;/prodvizhenie-seo/;TODO URL аудит сайта,Price and scope unclear,Can support old content refresh services,Confirm measurement unit
https://sever.studio/prodvizhenie-vkontakte/,Продвижение Вконтакте,service_page,ВКонтакте,ВКонтакте,thin,update,high,продвижение ВКонтакте,ведение группы ВК;ВКонтакте для бизнеса,/targetirovannaya-reklama/;/razrabotka-firmennogo-stilya/;/kontakty/,Needs current platform scope;needs examples,Relevant SMM service for Russia,Prefer over Instagram and Facebook
https://sever.studio/prodvizhenie-instagram/,Продвижение Инстаграм,service_page,Instagram,SMM,needs_review,update,low,SMM продвижение,ведение соцсетей для бизнеса;оформление соцсетей,/prodvizhenie-vkontakte/;/targetirovannaya-reklama/,Current relevance in Russia unclear,Can be updated or demoted after admin check,Do not prioritize until confirmed
https://sever.studio/targetirovannaya-reklama/,Таргетированная реклама,service_page,Таргетированная реклама,Таргетированная реклама,thin,update,high,таргетированная реклама,настройка таргетированной рекламы;таргет ВКонтакте,/prodvizhenie-vkontakte/;/razrabotka-landing-page/;/yandeks-direkt/,Needs active platforms and reporting details,Can connect SMM and landing pages,Confirm channels
https://sever.studio/prodvizhenie-facebook/,Продвижение Facebook,service_page,Facebook,SMM,needs_review,archive,low,SMM продвижение,таргетированная реклама;ведение соцсетей для бизнеса,/prodvizhenie-vkontakte/;/targetirovannaya-reklama/,Likely outdated for Russia;service relevance unclear,Archive or rewrite only after admin confirmation,Do not promote now
https://sever.studio/yandeks-direkt/,Яндекс Директ,service_page,Яндекс Директ,Яндекс Директ,thin,update,critical,Яндекс Директ под ключ,настройка Яндекс Директ;аудит Яндекс Директ,/razrabotka-landing-page/;TODO URL аудит рекламы;/prodvizhenie-seo/,Needs budget vs fee clarification;needs FAQ,Core paid traffic service,Use confirmed price only
https://sever.studio/dogonyayushhaya-reklama/,Догоняющая реклама,service_page,Ретаргетинг,Контекстная реклама,needs_review,update,medium,контекстная реклама,ретаргетинг;догоняющая реклама,/yandeks-direkt/;/razrabotka-landing-page/;/targetirovannaya-reklama/,Channels need confirmation;Google Ads mention may be outdated,Can support ad funnel content,Confirm active platforms
https://sever.studio/razrabotka-logotipa/,Разработка логотипа,service_page,Логотип,Логотип и фирменный стиль,thin,update,high,разработка логотипа,дизайн логотипа;логотип для бизнеса,/razrabotka-firmennogo-stilya/;/razrabotka-vizitok/;/razrabotka-tipografii/,Needs deliverables and formats,Supports branding and SMB design demand,Confirm number of concepts
https://sever.studio/razrabotka-firmennogo-stilya/,Разработка фирменного стиля,service_page,Фирменный стиль,Логотип и фирменный стиль,thin,update,high,фирменный стиль под ключ,разработка фирменного стиля;брендбук для компании,/razrabotka-logotipa/;/razrabotka-vizitok/;/razrabotka-tipografii/,Price and scope missing,Important branding service page,Confirm package composition
https://sever.studio/razrabotka-kommercheskogo-predlozheni/,Разработка коммерческого предложения,service_page,Коммерческое предложение,Дизайн и брендинг,thin,update,medium,дизайн для бизнеса,коммерческое предложение;презентация компании,/razrabotka-prezentaczij/;/razrabotka-firmennogo-stilya/;/razrabotka-korporativnogo-sajta/,Needs target audience and examples,Can support B2B sales materials,Confirm deliverables
https://sever.studio/razrabotka-prezentaczij/,Разработка презентаций,service_page,Презентации,Дизайн и брендинг,outdated,update,low,дизайн для бизнеса,презентация компании;коммерческое предложение,/razrabotka-kommercheskogo-predlozheni/;/razrabotka-firmennogo-stilya/,Old page and unclear demand,Update only after core pages,Low priority
https://sever.studio/razrabotka-vizitok/,Разработка визиток,service_page,Визитки,Дизайн и брендинг,thin,update,medium,дизайн для бизнеса,визитки;фирменный стиль,/razrabotka-logotipa/;/razrabotka-firmennogo-stilya/;/razrabotka-tipografii/,Needs print vs design clarification,Can support local offline business,Confirm whether printing included
https://sever.studio/razrabotka-tipografii/,Разработка типографии в Москве,service_page,Типография,Дизайн и брендинг,thin,update,medium,дизайн для бизнеса,типография Москва;печатные материалы,/razrabotka-vizitok/;/razrabotka-logotipa/;/vyveski-i-bolshie-bukvy/,Scope unclear,Can link design and offline local services,Confirm actual typography offer
https://sever.studio/vyveski-i-bolshie-bukvy/,Вывески и большие буквы,service_page,Вывески,Дизайн и брендинг,indexed_unknown,update,medium,дизайн для бизнеса,вывески;наружная реклама,/razrabotka-logotipa/;/razrabotka-firmennogo-stilya/;/razrabotka-tipografii/,Needs materials and production scope,Useful local offline business page,Updated in sitemap per analysis
https://sever.studio/czeny/,Цены,other,Prices,Разработка сайтов,indexed_unknown,update,critical,сайт под ключ цена,лендинг цена;SEO продвижение цена,homepage;/razrabotka-landing-page/;/prodvizhenie-seo/;/yandeks-direkt/,Needs price units and consistency,Can support commercial intent and trust,Confirm all current prices
https://sever.studio/kontakty/,Контакты,local_page,Contacts,Локальное SEO,indexed_unknown,update,critical,веб студия Красногорск,веб студия Москва;контакты Sever Studio,homepage;/prodvizhenie-seo/;/razrabotka-landing-page/,NAP conflict;multiple phones;address confirmation needed,Critical for local SEO trust,Resolve before local pages
https://sever.studio/vakansii/,Вакансии,other,Vacancies,Archive / Low Priority,indexed_unknown,keep,low,TODO,TODO,homepage,Not part of SEO service strategy,Keep functional page only,No public SEO push
https://sever.studio/politika-konfidenczialnosti/,Политика конфиденциальности,other,Legal,Archive / Low Priority,indexed_unknown,keep,low,TODO,TODO,homepage,Legal page not content asset,Keep accessible,No SEO refresh needed unless legal changes
https://sever.studio/nejroseti-novyj-trend-dlya-seo/,Нейросети – новый тренд для SEO,other,AI / SEO,Archive AI SaaS MVP,needs_review,update,low,нейросети в SEO,AI SEO;нейросети в маркетинге,/prodvizhenie-seo/,Not core commercial direction;needs factual review,Can be future support for SEO thought leadership,Do not prioritize
https://sever.studio/brieff/,Бриф,other,Brief,Разработка сайтов,indexed_unknown,update,high,бриф на разработку сайта,что подготовить перед заказом сайта,homepage;/razrabotka-landing-page/;/razrabotka-korporativnogo-sajta/,Robots has brief path conflict to check,Useful conversion page for site development,Confirm indexability intent
https://sever.studio/crypto/,Услуги криптобизнесу,other,Crypto services,Archive / Low Priority,needs_review,archive,low,TODO,TODO,homepage,Not part of current confirmed core SEO strategy,Archive or keep only if business confirms service,Do not promote now
https://sever.studio/novosti/privet-mir/,Главная страница сайта: 25 лучших примеров,blog_post,Разработка сайтов,Разработка сайтов,outdated,merge,medium,что должно быть на сайте компании,главная страница сайта;структура сайта,/razrabotka-korporativnogo-sajta/;/razrabotka-mnogostranichnogo-sajta/,Old examples article;likely broad and outdated,Merge into site structure or homepage checklist article,Can support corporate site
https://sever.studio/novosti/kak-pandemiya-izmenila-onlajn-obrazovanie-i-na-kogo-pojti-uchitsya-v-2021-godu/,Как пандемия изменила онлайн-образование и на кого пойти учиться в 2021 году,blog_post,Маркетинг,Archive / Low Priority,outdated,archive,low,TODO,TODO,homepage,2021 pandemic topic not aligned with services,Archive or noindex if weak,No current service push
https://sever.studio/novosti/100-resursov-po-seo-dlya-izucheniya-poiskovoj-optimizaczii-s-nulya/,100+ ресурсов по SEO для изучения поисковой оптимизации с нуля,blog_post,SEO,SEO-продвижение,outdated,update,medium,SEO продвижение сайта,семантическое ядро;техническая оптимизация,/prodvizhenie-seo/;TODO URL аудит сайта,Resource list may be outdated,Refresh as SEO learning and audit resource with service links,Check external links
https://sever.studio/novosti/50-ottenkov-krizisa-kak-vedushhie-agentstva-perezhili-2020-god-i-chto-planiruyut-delat-v-sleduyushhem/,50 оттенков кризиса: как ведущие агентства пережили 2020 год и что планируют делать,blog_post,Маркетинг,Archive / Low Priority,outdated,archive,low,TODO,TODO,homepage,2020 crisis topic not aligned with service SEO,Archive or keep as old news only,No refresh now
https://sever.studio/novosti/iteraczionnyj-podhod-v-seo-pochemu-nelzya-navsegda-stat-liderom-topa/,Итерационный подход в SEO: почему нельзя навсегда стать лидером ТОПа,blog_post,SEO,SEO-продвижение,outdated,update,high,SEO продвижение сайта,продвижение сайта в Яндексе;как проверить seo подрядчика,/prodvizhenie-seo/;TODO URL аудит сайта,Old TOP wording needs careful rewrite,Good angle for no-guarantee SEO education,Add CTA to SEO audit
https://sever.studio/novosti/kommercheskie-faktory-ranzhirovaniya-v-yandekse-chek-list/,Коммерческие факторы ранжирования в Яндексе: чек-лист,blog_post,SEO,SEO-продвижение,outdated,update,high,коммерческие факторы сайта,SEO продвижение сайта;аудит сайта,/prodvizhenie-seo/;TODO URL аудит сайта;/kontakty/,Old but highly relevant to Yandex,Refresh checklist for service and local pages,Add internal links to SEO and audit
https://sever.studio/novosti/prodvizhenie-v-yandeks-i-google-dlya-kogo-seo-ne-budet-rabotat-v-2021-godu/,Продвижение в Яндекс и Google: для кого SEO не будет работать в 2021 году,blog_post,SEO,SEO-продвижение,outdated,update,medium,SEO продвижение сайта,продвижение сайта в Яндексе;SEO или контекстная реклама,/prodvizhenie-seo/;/yandeks-direkt/,Date-specific 2021 angle outdated,Rewrite to evergreen SEO fit and limitations,Useful for expectation setting
https://sever.studio/novosti/kak-vladelczam-sajtov-zarabotat-na-partnerskih-programmah/,Как владельцам сайтов заработать на партнерских программах,blog_post,Маркетинг,Archive / Low Priority,outdated,archive,low,TODO,TODO,homepage,Affiliate topic not core to services,Archive or leave unpromoted,No service SEO priority
https://sever.studio/novosti/uvlekatelnoe-seo-dlya-sajta-uslug-kejs-po-prodvizheniyu-tennisnoj-shkoly/,Отличное SEO для сайта: кейс по продвижению теннисной школы,blog_post,SEO,SEO-продвижение,needs_review,update,high,SEO продвижение сайта,SEO для сайта услуг;коммерческие факторы,/prodvizhenie-seo/;TODO URL аудит сайта,Case claims need proof;title has hype,Can become non-fake SEO for service business article,Verify case permission before using
https://sever.studio/novosti/kak-i-zachem-seo-speczialist-pomogaet-v-razrabotke-sajtov/,Как и зачем SEO-специалист помогает в разработке сайтов,blog_post,SEO,Разработка сайтов,outdated,update,high,что входит в разработку сайта,SEO при разработке сайта;техническая оптимизация,/prodvizhenie-seo/;/razrabotka-korporativnogo-sajta/;/razrabotka-landing-page/,Good topic but old content likely needs refresh,Strong bridge between development and SEO services,Add links to site services
https://sever.studio/novosti/kak-kopirajteru-ostavatsya-vostrebovannym-speczialistom-v-2021-godu/,Как копирайтеру оставаться востребованным специалистом в 2021 году,blog_post,Копирайтинг,Копирайт и рерайт,outdated,merge,medium,копирайт для сайта,SEO текст для сайта;тексты для сайта услуг,/zakazat-kopirajt-teksta/;/zakazat-rerajt-teksta-2/,2021 career angle not buyer intent,Merge into texts for website or SEO copy guide,Can support copywriting service
https://sever.studio/novosti/neyavnye-seo-oshibki-99-sajtov-meshayushhie-rostu/,Неявные SEO-ошибки 99% сайтов мешающие росту,blog_post,SEO,Аудит сайта,outdated,update,high,аудит сайта,SEO аудит сайта;проверить сайт на ошибки,TODO URL аудит сайта;/prodvizhenie-seo/;/podderzhka-sajta/,Unsupported 99 percent claim;needs softer title,Strong audit-led problem-aware article,Remove fake statistic
https://sever.studio/novosti/kuda-pojti-uchitsya-vazhnye-seo-instrumenty-i-trendy-veb-razrabotki/,Куда пойти учиться: важные SEO-инструменты и тренды веб-разработки,blog_post,SEO,Archive / Low Priority,outdated,archive,low,TODO,TODO,/prodvizhenie-seo/,Learning resources angle not commercial,Archive or keep unpromoted,Could salvage tools list later
https://sever.studio/novosti/5-knig-ot-eksperta-bill-gejts-microsoft-podborka-za-2020-god/,5 книг от эксперта: Билл Гейтс (Microsoft). Подборка за 2021 год,blog_post,Маркетинг,Archive / Low Priority,outdated,archive,low,TODO,TODO,homepage,Not relevant to services and date mismatch,Archive or leave as old news,No SEO push
https://sever.studio/novosti/optimization-2020-mistika-v-poiskovoj-vydache-koldunshhiki-i-metody-ih-ukroshheniya/,Optimization 2021: Мистика в поисковой выдаче – колдунщики и методы,blog_post,SEO,SEO-продвижение,outdated,merge,medium,продвижение сайта в Яндексе,поисковая выдача;SEO продвижение сайта,/prodvizhenie-seo/,Old event-style topic and duplicate taxopress versions,Merge insights into SEO in Yandex article,Check duplicate URLs
https://sever.studio/novosti/trendy-v-razrabotke-sajtov-2023/,Тренды в разработке веб сайтов в 2023 году,blog_post,Разработка сайтов,Разработка сайтов,outdated,update,medium,разработка сайта под ключ,тренды разработки сайтов;создание сайта для бизнеса,/razrabotka-landing-page/;/razrabotka-korporativnogo-sajta/;/razrabotka-internet-magazina/,Year 2023 outdated,Rewrite as evergreen site requirements for business,Can support site development cluster
https://sever.studio/novosti/istoriya-seo/,История SEO,blog_post,SEO,Archive / Low Priority,outdated,archive,low,TODO,TODO,/prodvizhenie-seo/,Educational history not commercial priority,Archive or keep unpromoted,No refresh before service content
https://sever.studio/novosti/vidy-cms/,Виды CMS,blog_post,Разработка,Разработка сайтов,outdated,merge,medium,как выбрать CMS для своего сайта,виды CMS;CMS для сайта,/razrabotka-mnogostranichnogo-sajta/;/podderzhka-sajta/,Overlaps with later CMS article,Merge into CMS choice article,Support site development and support
https://sever.studio/novosti/iskusstvennyj-intellekt-i-nejroseti/,ИИ и нейросети,blog_post,AI,Archive AI SaaS MVP,outdated,merge,low,нейросети в дизайне сайта,ИИ и нейросети;нейросети в маркетинге,/prodvizhenie-seo/,Broad AI topic not service-led,Merge with applied AI design post if kept,Future low priority
https://sever.studio/novosti/primenenie-nejrosetej-kak-oni-pomogayut-reshat-raznye-zadachi/,Применение нейросетей,blog_post,AI,Archive AI SaaS MVP,outdated,merge,low,нейросети в дизайне сайта,применение нейросетей;AI SEO,/prodvizhenie-seo/,Broad AI and duplicate intent,Merge into one practical AI-for-site-design page,Future low priority
https://sever.studio/novosti/optimizacziya-sajta/,Оптимизация сайта,blog_post,Разработка,SEO-продвижение,outdated,update,high,техническая оптимизация сайта,оптимизация сайта;SEO продвижение сайта,/prodvizhenie-seo/;TODO URL аудит сайта;/podderzhka-sajta/,Needs current technical SEO and Yandex focus,Strong support for SEO service and audit,Update before new SEO articles
https://sever.studio/novosti/kak-sajt-mozhet-sdelat-vash-biznes-uspeshnym/,Как сайт может сделать ваш бизнес успешным,blog_post,Разработка сайтов,Разработка сайтов,needs_review,update,medium,создание сайта для малого бизнеса,сайт для бизнеса;разработка сайта под ключ,/razrabotka-landing-page/;/razrabotka-korporativnogo-sajta/;/prodvizhenie-seo/,Generic broad article;may contain overclaims,Rewrite toward practical business website value,Add service links
https://sever.studio/novosti/sam-sebe-razrabotchik/,Сам себе разработчик,blog_post,Разработка,Разработка сайтов,outdated,merge,medium,как выбрать подрядчика для сайта,самостоятельно сделать сайт;разработка сайта под ключ,/razrabotka-sajta-vizitki/;/razrabotka-landing-page/,DIY angle may conflict with service intent,Merge into build yourself vs hire studio comparison,Useful comparison topic
https://sever.studio/novosti/cms-konstruktor-dlya-vashego-sajta-bez-kodirovaniya-i-slozhnostej/,CMS: конструктор для вашего сайта без кодирования и сложностей,blog_post,Разработка,Разработка сайтов,outdated,merge,medium,как выбрать CMS для своего сайта,CMS для сайта;конструктор сайта,/razrabotka-mnogostranichnogo-sajta/;/podderzhka-sajta/,Overlaps with CMS articles,Merge with CMS choice content,Support site development decisions
https://sever.studio/novosti/dizajn-sajtov-pochemu-on-vazhen-i-kak-on-vliyaet-na-uspeh-biznesa/,Дизайн сайтов: почему он важен и как он влияет на успех бизнеса,blog_post,Дизайн,Дизайн и брендинг,outdated,update,medium,дизайн для бизнеса,дизайн сайта и брендинг;визуальный стиль компании,/razrabotka-logotipa/;/razrabotka-firmennogo-stilya/;/razrabotka-landing-page/,Broad design article needs service links,Can support branding and site design,Add practical checklist
https://sever.studio/novosti/seo-vash-pomoshhnik-v-prodvizhenii-sajta-i-biznesa/,SEO - ваш помощник в продвижении сайта и бизнеса,blog_post,SEO,SEO-продвижение,outdated,update,high,SEO продвижение сайта,продвижение сайта в Яндексе;что входит в SEO продвижение,/prodvizhenie-seo/;TODO URL аудит сайта,Generic SEO article needs sharper intent,Can become basic SEO service explainer,Link to SEO service
https://sever.studio/novosti/kak-vybrat-cms-dlya-svoego-sajta-sravnenie-gotovyh-i-samopisnyh-reshenij/,Как выбрать CMS для своего сайта: сравнение готовых и самописных решений,blog_post,Разработка,Разработка сайтов,outdated,update,medium,как выбрать CMS для своего сайта,CMS для сайта;поддержка сайта,/razrabotka-mnogostranichnogo-sajta/;/podderzhka-sajta/;/homepage/dorabotka-sajta/,Needs current CMS guidance and proof constraints,Best canonical CMS article target,Merge weaker CMS posts into this
https://sever.studio/novosti/kak-popast-v-top-yandeksa/,Как попасть в топ Яндекса,blog_post,SEO,SEO-продвижение,outdated,update,high,продвижение сайта в Яндексе,SEO продвижение сайта;коммерческие факторы,/prodvizhenie-seo/;TODO URL аудит сайта,/top wording may overpromise,Rewrite with no-guarantee realistic Yandex SEO,Strong SEO pillar support
https://sever.studio/novosti/kak-nejroseti-pomogayut-sozdavat-dizajn-sajta/,Как нейросети помогают создавать дизайн сайта,blog_post,AI / Design,Archive AI SaaS MVP,needs_review,update,low,нейросети в дизайне сайта,AI дизайн сайта;дизайн сайта,/razrabotka-landing-page/;/razrabotka-firmennogo-stilya/,Not core but can be future design support,Keep low priority and avoid AI hype,Update only after core service content
https://sever.studio/novosti/kak-sdelat-seo-audit-sajta-poshagovaya-instrukcziya-dlya-nachinayushhih/,Как сделать SEO-аудит сайта: пошаговая инструкция для начинающих,blog_post,SEO-аудит,Аудит сайта,outdated,update,critical,SEO аудит сайта,аудит сайта;проверка сайта перед продвижением,TODO URL аудит сайта;/prodvizhenie-seo/;/podderzhka-sajta/,Needs current audit service CTA and duplicate check,Key problem-aware article before new content,High refresh priority
https://sever.studio/novosti/masterstvo-seo-audita-izbegaya-chastyh-oshibok/,Мастерство SEO-аудита: избегая частых ошибок,blog_post,SEO-аудит,Аудит сайта,outdated,merge,medium,аудит сайта,SEO аудит сайта;ошибки SEO аудита,TODO URL аудит сайта;/prodvizhenie-seo/,Overlaps with SEO audit guide,Merge into main SEO audit article,Use as supporting section
https://sever.studio/novosti/otkrytie-potencziala-sekrety-sbora-semanticheskogo-yadra/,Открытие потенциала: Секреты сбора семантического ядра,blog_post,SEO,SEO-продвижение,outdated,update,medium,семантическое ядро для сайта,сбор семантики;SEO продвижение сайта,/prodvizhenie-seo/;TODO URL аудит сайта,Title is hype;needs practical service framing,Can support SEO process cluster,Remove generic phrasing
https://sever.studio/novosti/kak-vyigrat-v-gonke-za-trafikom-sekrety-analiza-konkurentov-v-seo/,Как выиграть в гонке за трафиком: Секреты анализа конкурентов в SEO,blog_post,SEO,SEO-продвижение,outdated,update,medium,как проверить seo подрядчика,анализ конкурентов SEO;SEO продвижение сайта,/prodvizhenie-seo/;TODO URL аудит сайта,Title overpromises;needs current process,Can support competitor research and SEO service,Rewrite angle to audit competitors
https://sever.studio/novosti/mobilnoe-budushhee-kak-sozdat-mobilnuyu-versiyu-kotoraya-rabotaet/,Мобильное будущее: Как создать мобильную версию которая работает,blog_post,Разработка,Разработка сайтов,outdated,update,medium,адаптивная версия сайта,мобильная версия сайта;разработка сайта под ключ,/razrabotka-landing-page/;/razrabotka-mnogostranichnogo-sajta/,Title dated;needs practical mobile checklist,Supports all site development pages,Link to landing and multi-page services
https://sever.studio/novosti/bootstrap-kak-sozdat-krasivyj-i-udobnyj-sajt-bez-lishnih-usilij/,Bootstrap: как создать красивый и удобный сайт без лишних усилий,blog_post,Разработка,Archive / Low Priority,outdated,archive,low,TODO,Bootstrap;верстка сайта,/homepage/dorabotka-sajta/,Tool-specific and not buyer intent,Archive or leave unpromoted,Not a priority service topic
https://sever.studio/novosti/vliyanie-czvetov-na-poseshhaemost-sajta/,Влияние цветов на посещаемость сайта,blog_post,Дизайн,Дизайн и брендинг,needs_review,update,medium,дизайн для бизнеса,цвета сайта;визуальный стиль компании,/razrabotka-firmennogo-stilya/;/razrabotka-logotipa/;/razrabotka-landing-page/,Claim about traffic may need proof,Can support design and branding with softer framing,Change angle to trust and usability
